Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9518398268398268
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013
Support Vector Machine,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9437229437229437
K-Nearest Neighbors,0.8852459016393442,0.8,1.0,0.8888888888888888,0.9231601731601731
XGBoost,0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9188311688311689
Decision Tree,0.7377049180327869,0.6764705882352942,0.8214285714285714,0.7419354838709677,0.7440476190476191
